x,y_ref_abs,AAA,Error_AAA,VF,Error_VF,Szego,Error_Szego,Adap,Error_Adap
15880,104.29,104.26,0.026382,104.38,0.086129,104.26,0.056951,104.29,0.0015624
15910,104.19,104.15,0.035177,104.3,0.11929,104.13,0.074631,104.19,0.0019914
15940,104.08,104.04,0.040511,104.22,0.15141,104,0.084428,104.08,0.002178
15970,103.96,103.93,0.041971,104.12,0.18218,103.87,0.085873,103.95,0.0021291
16000,103.83,103.81,0.039509,104.01,0.21099,103.75,0.079302,103.82,0.0018794
16030,103.69,103.67,0.033431,103.87,0.23694,103.62,0.065778,103.68,0.0014834
16060,103.53,103.53,0.024366,103.72,0.25894,103.5,0.046959,103.53,0.0010047
16090,103.37,103.38,0.013203,103.54,0.27587,103.36,0.024904,103.37,0.00050523
16120,103.2,103.2,0.0010064,103.35,0.28674,103.2,0.0018564,103.2,3.5831e-05
16150,103.02,103.02,0.011081,103.13,0.29089,103.02,0.019975,103.02,0.00036997
16180,102.83,102.81,0.021942,102.9,0.28807,102.82,0.038628,102.83,0.00069692
16210,102.62,102.59,0.030592,102.65,0.27856,102.59,0.052557,102.62,0.00094366
16240,102.39,102.35,0.036269,102.39,0.26314,102.34,0.060753,102.38,0.0011139
16270,102.14,102.1,0.038501,102.11,0.24306,102.08,0.062813,102.13,0.0012073
16300,101.86,101.83,0.037139,101.82,0.21984,101.81,0.058933,101.86,0.0012146
16330,101.57,101.54,0.032363,101.51,0.19513,101.52,0.049859,101.57,0.0011206
16360,101.26,101.24,0.024644,101.2,0.17038,101.23,0.036776,101.26,0.00091117
16390,100.94,100.93,0.014687,100.88,0.14657,100.93,0.021167,100.94,0.00058168
16420,100.61,100.6,0.003358,100.55,0.12392,100.6,0.0046558,100.61,0.00014233
16450,100.26,100.26,0.0084038,100.21,0.10179,100.27,0.011155,100.26,0.00037981
16480,99.911,99.912,0.019662,99.865,0.078786,99.91,0.024835,99.91,0.00094192
16510,99.551,99.546,0.029552,99.517,0.053179,99.539,0.035249,99.55,0.0014889
16540,99.182,99.168,0.037327,99.166,0.023365,99.157,0.041648,99.182,0.0019582
16570,98.802,98.777,0.042376,98.814,0.012515,98.767,0.043713,98.802,0.0022865
16600,98.409,98.375,0.044203,98.459,0.053245,98.37,0.041565,98.41,0.0024167
16630,98.001,97.963,0.042359,98.098,0.098495,97.965,0.035722,98.002,0.0023061
16660,97.576,97.54,0.036354,97.719,0.14434,97.549,0.027021,97.577,0.0019341
16690,97.133,97.107,0.025595,97.305,0.18437,97.119,0.016517,97.134,0.0013086
16720,96.672,96.663,0.0096145,96.839,0.21107,96.668,0.0053598,96.672,0.00046907
16750,96.192,96.2,0.010869,96.321,0.21965,96.194,0.0053306,96.192,0.00051416
16780,95.694,95.704,0.032013,95.767,0.21065,95.696,0.014572,95.693,0.0015454
16810,95.176,95.171,0.047355,95.195,0.18864,95.173,0.021611,95.175,0.0025134
16840,94.64,94.614,0.053228,94.619,0.15902,94.629,0.025976,94.64,0.0033047
16870,94.086,94.047,0.051112,94.042,0.12607,94.068,0.027503,94.087,0.0038178
16900,93.515,93.475,0.044204,93.465,0.09268,93.493,0.02632,93.518,0.0039771
16930,92.929,92.894,0.034966,92.884,0.060782,92.907,0.022808,92.932,0.0037433
16960,92.329,92.304,0.024914,92.298,0.032336,92.311,0.017538,92.332,0.0031201
16990,91.716,91.702,0.014977,91.705,0.016121,91.705,0.011194,91.718,0.002155
17020,91.092,91.087,0.0057558,91.102,0.029871,91.088,0.0044948,91.093,0.00093511
17050,90.458,90.46,0.00234,90.49,0.05029,90.459,0.00188,90.458,0.00042214
17080,89.815,89.82,0.0090323,89.868,0.069553,89.818,0.0073559,89.814,0.001781
17110,89.163,89.169,0.014138,89.237,0.087114,89.164,0.011509,89.164,0.0030019
17140,88.504,88.508,0.017547,88.596,0.10325,88.501,0.014092,88.506,0.0039568
17170,87.838,87.839,0.019216,87.947,0.11845,87.831,0.015042,87.841,0.0045435
17200,87.167,87.164,0.019164,87.293,0.13325,87.157,0.014463,87.171,0.0046971
17230,86.493,86.486,0.017483,86.636,0.14814,86.482,0.012598,86.497,0.0043983
17260,85.819,85.811,0.014351,85.979,0.16345,85.809,0.0097908,85.822,0.0036756
17290,85.149,85.142,0.010041,85.327,0.17924,85.143,0.0064374,85.151,0.0026015
17320,84.49,84.486,0.004922,84.685,0.19522,84.488,0.002945,84.491,0.0012839
17350,83.851,83.852,0.00056241,84.062,0.21081,83.851,0.00031199,83.851,0.00014723
17380,83.241,83.247,0.0059262,83.465,0.22517,83.243,0.0030273,83.242,0.0015541
17410,82.673,82.684,0.010688,82.904,0.23739,82.675,0.00499,82.675,0.0028051
17440,82.16,82.174,0.014418,82.391,0.24658,82.16,0.0061005,82.163,0.0037867
17470,81.717,81.73,0.016784,81.939,0.25204,81.714,0.0063722,81.721,0.0044119
17500,81.357,81.368,0.017577,81.564,0.25332,81.353,0.0059192,81.362,0.0046265
17530,81.095,81.103,0.016732,81.279,0.25024,81.091,0.0049316,81.1,0.0044119
17560,80.945,80.948,0.01433,81.101,0.24295,80.941,0.0036406,80.948,0.0037865
17590,80.917,80.916,0.010591,81.042,0.23186,80.915,0.0022802,80.919,0.0028047
17620,81.02,81.018,0.0058535,81.114,0.21758,81.019,0.0010496,81.02,0.0015535
17650,81.258,81.258,0.00055327,81.324,0.20088,81.258,8.1476e-05,81.258,0.00014712
17680,81.632,81.635,0.0048134,81.672,0.18252,81.632,0.00058233,81.632,0.001282
17710,82.133,82.142,0.0097296,82.152,0.16315,82.133,0.0010047,82.135,0.0025946
17740,82.75,82.763,0.013707,82.751,0.14313,82.749,0.001335,82.753,0.0036587
17770,83.461,83.477,0.016342,83.449,0.12248,83.459,0.0017107,83.465,0.0043648
17800,84.24,84.256,0.017362,84.219,0.10089,84.238,0.0021393,84.244,0.0046394
17830,85.057,85.071,0.016675,85.032,0.077918,85.056,0.0025065,85.06,0.0044569
17860,85.881,85.89,0.014383,85.856,0.053224,85.881,0.0026556,85.882,0.0038444
17890,86.68,86.685,0.010777,86.661,0.02716,86.681,0.0024369,86.68,0.0028796
17920,87.428,87.429,0.0062967,87.421,0.01056,87.429,0.0017345,87.427,0.0016808
17950,88.102,88.102,0.0014658,88.116,0.03488,88.103,0.00048906,88.102,0.00039055
17980,88.69,88.691,0.0031819,88.729,0.064352,88.688,0.0012782,88.69,0.00084509
18010,89.182,89.186,0.0071763,89.252,0.093495,89.179,0.0034483,89.184,0.0018963
18040,89.578,89.586,0.010166,89.68,0.12107,89.573,0.0058016,89.581,0.0026659
18070,89.882,89.893,0.011948,90.016,0.14624,89.876,0.0080339,89.885,0.0030992
18100,90.101,90.113,0.012469,90.263,0.16847,90.095,0.0097931,90.102,0.0031864
18130,90.244,90.255,0.011807,90.429,0.18741,90.24,0.01073,90.244,0.0029583
18160,90.321,90.331,0.010137,90.524,0.20287,90.321,0.010556,90.32,0.002477
18190,90.345,90.352,0.0077007,90.558,0.21476,90.348,0.0090926,90.344,0.0018237
18220,90.327,90.331,0.004767,90.544,0.22299,90.331,0.006315,90.326,0.0010869
18250,90.279,90.28,0.0016109,90.491,0.22747,90.281,0.0023686,90.279,0.00035107
18280,90.211,90.211,0.0015068,90.411,0.22807,90.209,0.0024326,90.212,0.00031142
18310,90.133,90.132,0.0043516,90.314,0.22465,90.125,0.0076322,90.134,0.00084583
18340,90.051,90.051,0.0067226,90.208,0.21712,90.039,0.012676,90.052,0.001218
18370,89.971,89.973,0.0084563,90.098,0.20546,89.957,0.016973,89.972,0.0014149
18400,89.895,89.898,0.0094301,89.99,0.18973,89.882,0.019962,89.895,0.0014433
18430,89.821,89.826,0.0095665,89.884,0.17017,89.813,0.02118,89.82,0.0013269
18460,89.745,89.751,0.0088402,89.778,0.14712,89.743,0.020324,89.744,0.0011015
18490,89.66,89.666,0.0072877,89.668,0.12106,89.664,0.017298,89.659,0.00080949
18520,89.558,89.562,0.0050157,89.548,0.092572,89.564,0.012237,89.557,0.00049389
18550,89.429,89.431,0.0022042,89.409,0.062411,89.433,0.0055115,89.429,0.00019194
18580,89.265,89.264,0.00090053,89.244,0.032127,89.263,0.0023036,89.265,6.9514e-05
18610,89.06,89.056,0.0040056,89.047,0.015644,89.049,0.010475,89.06,0.0002767
18640,88.808,88.802,0.0068014,88.813,0.04045,88.79,0.018183,88.808,0.00042831
18670,88.509,88.504,0.0089974,88.54,0.071585,88.487,0.024608,88.51,0.00053129
18700,88.168,88.163,0.010359,88.23,0.10211,88.146,0.02901,88.168,0.00059401
18730,87.789,87.787,0.010734,87.886,0.13061,87.773,0.030819,87.789,0.00061977
18760,87.383,87.384,0.010077,87.514,0.15615,87.376,0.029695,87.383,0.0006043
18790,86.96,86.963,0.0084479,87.123,0.17794,86.961,0.02558,86.96,0.00053841
18820,86.531,86.535,0.0060083,86.721,0.19536,86.538,0.018715,86.531,0.00041318
18850,86.109,86.111,0.0030026,86.316,0.208,86.115,0.0096304,86.109,0.00022486
18880,85.702,85.702,0.00026934,85.917,0.21561,85.701,0.00089039,85.702,2.2083e-05
18910,85.318,85.315,0.0034837,85.53,0.21817,85.307,0.011881,85.318,0.00031365
18940,84.963,84.957,0.0063264,85.163,0.21582,84.941,0.022277,84.963,0.00062644
18970,84.639,84.631,0.0085255,84.819,0.20884,84.609,0.031023,84.64,0.000929
19000,84.348,84.339,0.0098781,84.5,0.1976,84.316,0.037177,84.349,0.0011843
19030,84.085,84.078,0.01027,84.207,0.18252,84.059,0.040008,84.086,0.0013537
19060,83.848,83.843,0.0096867,83.937,0.16403,83.832,0.039083,83.848,0.0014012
