Quantiles DWTPU DWCPU-2h DWCPU-8h DWCPU-24h IE
0.000000000000000000e+00 -2.220446049250313081e-16 -5.613026710094004557e-09 -2.297775081316899559e-09 -2.220446049250313081e-16 -2.220446049250313081e-16
1.000000000000000056e-01 2.403859569206019398e-01 8.408520831578388810e-01 5.976216459810915760e-01 1.990874758717706694e-01 4.160432704339178667e-01
2.000000000000000111e-01 3.987551331918275377e-01 9.022114579402299439e-01 8.644485504586963964e-01 5.278360989801735847e-01 6.350364618516290971e-01
2.999999999999999889e-01 5.312775312102661074e-01 9.368821866566821033e-01 9.131045045049068776e-01 7.762302336947622949e-01 7.269089087668179072e-01
4.000000000000000222e-01 6.497014775891740701e-01 9.642301758545900325e-01 9.462701312996291136e-01 8.618303299964824582e-01 7.680992470106315917e-01
5.000000000000000000e-01 7.367316086170239142e-01 9.886790147894058967e-01 9.740162622555440519e-01 9.089497711410068348e-01 7.997917812078705335e-01
5.999999999999999778e-01 7.942830898619124280e-01 1.010537403242523613e+00 9.981870324780830472e-01 9.433894833586011774e-01 8.264826015869282116e-01
6.999999999999999556e-01 8.445861796857009329e-01 1.035258798854325590e+00 1.024629855277863211e+00 9.776748664629432151e-01 8.550879714053304381e-01
8.000000000000000444e-01 8.926056834561413300e-01 1.063233249325192586e+00 1.053929945686101322e+00 1.013347841591308862e+00 8.870622886566416065e-01
9.000000000000000222e-01 9.478096147857779652e-01 1.099963709008348500e+00 1.091977992887097626e+00 1.057636107614196019e+00 9.284921103724184110e-01
1.000000000000000000e+00 1.631380593589539796e+00 1.719317257444288316e+00 1.680803644043661116e+00 1.658092235358890720e+00 1.410539718955451827e+00
