Quantiles DWTPU DWCPU-2h DWCPU-8h DWCPU-24h IE
0.000000000000000000e+00 0.000000000000000000e+00 1.333333333333333315e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 0.000000000000000000e+00 2.857142857142856984e-01 0.000000000000000000e+00 0.000000000000000000e+00 6.666666666666666574e-02
2.000000000000000111e-01 0.000000000000000000e+00 3.571428571428571508e-01 0.000000000000000000e+00 0.000000000000000000e+00 8.333333333333332871e-02
2.999999999999999889e-01 0.000000000000000000e+00 4.000000000000000222e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.111111111111111049e-01
4.000000000000000222e-01 0.000000000000000000e+00 4.545454545454545303e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.666666666666666574e-01
5.000000000000000000e-01 0.000000000000000000e+00 5.555555555555555802e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.500000000000000000e-01
5.999999999999999778e-01 0.000000000000000000e+00 6.153846153846154188e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.076923076923077094e-01
6.999999999999999556e-01 0.000000000000000000e+00 6.666666666666666297e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.750000000000000000e-01
8.000000000000000444e-01 0.000000000000000000e+00 7.500000000000000000e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.000000000000000000e-01
9.000000000000000222e-01 0.000000000000000000e+00 8.000000000000000444e-01 0.000000000000000000e+00 0.000000000000000000e+00 6.666666666666666297e-01
1.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.000000000000000000e+00 1.111111111111111049e-01 1.000000000000000000e+00
