Quantiles DWTPU DWCPU-2h DWCPU-8h DWCPU-24h IE
0.000000000000000000e+00 -2.220446049250313081e-16 -5.613026710094004557e-09 -2.297775081316899559e-09 -2.220446049250313081e-16 -2.220446049250313081e-16
1.000000000000000056e-01 5.246675023631519608e-03 8.408520831578388810e-01 5.976216459810915760e-01 1.990874758717706694e-01 5.674814230180706964e-01
2.000000000000000111e-01 9.551409954249745482e-03 9.022114579402299439e-01 8.644485504586963964e-01 5.278360989801735847e-01 6.324388602417119198e-01
2.999999999999999889e-01 1.482159073830136009e-02 9.368821866566821033e-01 9.131045045049068776e-01 7.762302336947622949e-01 6.690101429942267863e-01
4.000000000000000222e-01 2.051992040788264138e-02 9.642301758545900325e-01 9.462701312996291136e-01 8.618303299964824582e-01 6.973679338365641467e-01
5.000000000000000000e-01 2.706142082315854402e-02 9.886790147894058967e-01 9.740162622555440519e-01 9.089497711410068348e-01 7.225552063062794517e-01
5.999999999999999778e-01 3.431976224090160787e-02 1.010537403242523613e+00 9.981870324780830472e-01 9.433894833586011774e-01 7.453916696201130510e-01
6.999999999999999556e-01 4.445886875703419783e-02 1.035258798854325590e+00 1.024629855277863211e+00 9.776748664629432151e-01 7.706020756169437158e-01
8.000000000000000444e-01 6.056975808637654612e-02 1.063233249325192586e+00 1.053929945686101322e+00 1.013347841591308862e+00 7.992181468510732856e-01
9.000000000000000222e-01 1.097142923115645985e-01 1.099963709008348500e+00 1.091977992887097626e+00 1.057636107614196019e+00 8.366899258623481384e-01
1.000000000000000000e+00 1.123554014854634353e+00 1.719317257444288316e+00 1.680803644043661116e+00 1.658092235358890720e+00 1.302631706030100922e+00
