Quantiles DWTPU DWCPU-2h DWCPU-8h DWCPU-24h IE
0.000000000000000000e+00 1.110223024625156540e-16 -2.220446049250313081e-16 0.000000000000000000e+00 1.110223024625156540e-16 4.379432619664340720e-01
1.000000000000000056e-01 9.135562538588446468e-01 8.726881546046768579e-01 8.726515554008920095e-01 8.726957521273075447e-01 8.735776286026410986e-01
2.000000000000000111e-01 9.513991963956821563e-01 9.170734002175994215e-01 9.171546447685212655e-01 9.171954824997650135e-01 9.170549668447062208e-01
2.999999999999999889e-01 9.740461223891481168e-01 9.471254168798002304e-01 9.471200836024405989e-01 9.470599786175080137e-01 9.468947677003027863e-01
4.000000000000000222e-01 9.919640204350238522e-01 9.721139290232149177e-01 9.721687085434540521e-01 9.720861339941944124e-01 9.720004034973800389e-01
5.000000000000000000e-01 1.008199362261522847e+00 9.951548255525085596e-01 9.952334019003044041e-01 9.951544537792338385e-01 9.949045226969267519e-01
5.999999999999999778e-01 1.023276903837185392e+00 1.016173234753585453e+00 1.016171687894539932e+00 1.016345980914653557e+00 1.016236207466347796e+00
6.999999999999999556e-01 1.039561956288784117e+00 1.040104652126344842e+00 1.040204061332012042e+00 1.040194685508664785e+00 1.040213490091815407e+00
8.000000000000000444e-01 1.058243565201203662e+00 1.067502550763169911e+00 1.067461804263300174e+00 1.067413085441091036e+00 1.067349719872231262e+00
9.000000000000000222e-01 1.082986229694168800e+00 1.103421037713654629e+00 1.103187510315192910e+00 1.103292343133361220e+00 1.104075699002481592e+00
1.000000000000000000e+00 1.314634096462288237e+00 1.501050000282633912e+00 1.489129999235164092e+00 1.497346814277542792e+00 1.477187740597137866e+00
