Quantiles DWTPU DWCPU-2h DWCPU-8h DWCPU-24h IE
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 2.355804459288624031e-04 1.110223024625156540e-16 0.000000000000000000e+00
1.000000000000000056e-01 0.000000000000000000e+00 6.321104679930391601e-01 1.012905544802575886e-01 8.588025976960012020e-02 8.665903823545166862e-01
2.000000000000000111e-01 0.000000000000000000e+00 9.234886583381346492e-01 9.234973196607777490e-01 9.268535631299329447e-01 9.110578285974372248e-01
2.999999999999999889e-01 0.000000000000000000e+00 9.748309313246459329e-01 1.029071488789632172e+00 1.040030751135375908e+00 9.410512455893843553e-01
4.000000000000000222e-01 0.000000000000000000e+00 1.008468029065346050e+00 1.075647231653269253e+00 1.088182455429930640e+00 9.661559764491989277e-01
5.000000000000000000e-01 0.000000000000000000e+00 1.036962061769790777e+00 1.107819382384955809e+00 1.115992862703402810e+00 9.889101328101886912e-01
5.999999999999999778e-01 0.000000000000000000e+00 1.061987337484861627e+00 1.132220686770321283e+00 1.135867162974420808e+00 1.009770735865729074e+00
6.999999999999999556e-01 0.000000000000000000e+00 1.088516775624162713e+00 1.158070456343418986e+00 1.155776408435579716e+00 1.034145907125515462e+00
8.000000000000000444e-01 0.000000000000000000e+00 1.117919063892590881e+00 1.184977421398919928e+00 1.177088629289279043e+00 1.062072710266639408e+00
9.000000000000000222e-01 0.000000000000000000e+00 1.156205793301077422e+00 1.219078986604210657e+00 1.205419640512362722e+00 1.098277947583293335e+00
1.000000000000000000e+00 0.000000000000000000e+00 1.509642305547758134e+00 1.667396914855691303e+00 1.703986408713270340e+00 1.468912607962557182e+00
