   1.0000000e+00   1.7364391e+01   1.5011170e+01
   2.0000000e+00   1.1482971e+01   1.6784837e+01
   3.0000000e+00   1.1227580e+01   1.1584951e+01
   4.0000000e+00   9.1331332e+00   1.5743147e+01
   5.0000000e+00   1.4871039e+01   9.7583959e+00
   6.0000000e+00   1.4285955e+01   1.3162222e+01
   7.0000000e+00   1.2983661e+01   1.1461170e+01
   8.0000000e+00   1.5042747e+01   1.5837687e+01
   9.0000000e+00   1.5257795e+01   1.2456501e+01
   1.0000000e+01   1.9598001e+01   2.2636972e+01
   1.1000000e+01   7.5574729e+00   9.2746800e+00
   1.2000000e+01   3.9513703e+00   1.1456500e+01
   1.3000000e+01   1.9176058e+01   1.5436400e+01
