t	lr	la	lvr	lva	lm
0	-1.86525923345619	-4.17926086363378e-11	-0.926254643649562	-2.00049112041993	0.576591998489039
0.0202686914137205	-1.84669585509301	-4.16299103276282e-11	-0.928882553489145	-1.9625852731594	0.570084204791669
0.0676215305007928	-1.80270687527797	-4.08883482777866e-11	-0.933796748115654	-1.87430292751193	0.555939062042433
0.141128600580527	-1.73480730794343	-4.18300270359985e-11	-0.93813403789	-1.73585903486427	0.53449242878836
0.239577066713375	-1.64428536057364	-4.24881350047042e-11	-0.93690774065134	-1.55010553201478	0.507662262825698
0.36134936566041	-1.53477262321495	-4.25118970107868e-11	-0.92326937361621	-1.32212158456539	0.476919348957119
0.504445698966877	-1.41159983457921	-4.30553464562657e-11	-0.888626975994466	-1.0629876409013	0.444852224432372
0.666516315515211	-1.28405802302107	-4.28183804245586e-11	-0.824368977026023	-0.789023988281515	0.413322955198418
0.844899969400662	-1.16354298949855	-4.36774525876508e-11	-0.724040595842555	-0.523064197686574	0.384872400086176
1.03666757995368	-1.06254455836718	-4.30327040423444e-11	-0.586180157537887	-0.289546748421291	0.360696102284228
1.23867031347966	-0.989899412753077	-4.27737166000911e-11	-0.415679173518259	-0.110535456417206	0.342602036888899
1.44759128125804	-0.948721773971751	-3.84263970283267e-11	-0.222459441445212	0.000812601671763904	0.33055896866653
1.66	-0.936097368148678	-3.29097094867302e-11	-0.0184699359694257	0.0420074178883911	0.326204867228263
1.87240871874196	-0.946197748579731	-3.44058428227899e-11	0.18622635997059	0.0209480410889312	0.322414312226401
2.08132968652034	-0.973221545015364	-3.14084536138304e-11	0.385176578787916	-0.0501752997113188	0.310566440981055
2.28333242004632	-1.01160153373522	-2.82015170480287e-11	0.574097516169792	-0.160839185734969	0.29078695207172
2.47510003059934	-1.0573649784441	-2.61331230024213e-11	0.749254552922092	-0.300495107792101	0.262679316017037
2.65348368448479	-1.10682605162468	-2.38102372105862e-11	0.90750854302348	-0.459332649996726	0.227786592364523
2.81555430103312	-1.15717844840053	-1.80327606777603e-11	1.04620074259665	-0.626806456063015	0.187424009373135
2.95865063433959	-1.20542089767795	-1.50244908135771e-11	1.16352606980286	-0.793033789871134	0.14452710990533
3.08042293328663	-1.24927014492906	-1.69547854546307e-11	1.25864491105281	-0.947681638577769	0.101814438988253
3.17887139941947	-1.28630166171455	-1.57662157057162e-11	1.33172432565652	-1.08181909981408	0.0630795325086719
3.25237846949921	-1.31497508632472	-1.18421195843146e-11	1.38370729181594	-1.18701083969275	0.0312625291409217
3.29973130858628	-1.33371630848216	-5.8955891355546e-12	1.41589559872884	-1.2572992461815	0.0096848936272214
3.32	-1.34200321626157	1.22683417183603e-11	1.42932865758106	-1.28767929322044	-0.000184537428958175
