(a) Knowledge of Individual Concepts,(b) Knowledge of Wider Scope,(c) Knowledge of Trichotomic Relationship,(d) Knowledge of Terminology,(e) Undertake Independent Learning,(f) Access to Knowledge Without Expert,(g) Enabled Discussions With Expert,(h) Enabled Discussions With Others
6,7,5,3,6,5,6,5
7,4,7,4,7,5,5,5
7,7,7,7,7,7,7,7
4,5,5,5,4,4,4,4
5,5,5,4,4,6,5,4
5,5,5,6,5,5,5,4
5,6,6,6,5,6,5,6
6,4,4,3,2,2,1,1
6,7,6,7,5,6,7,5
6,6,6,6,6,6,6,6
7,7,7,7,7,7,7,7
